"tgav","year","model"
15.9967822989082,2063,"CNRM-ESM2-1"
15.6728395449634,2064,"CNRM-ESM2-1"
15.737410920472,2065,"CNRM-ESM2-1"
15.9672607488358,2066,"CNRM-ESM2-1"
15.8278221061224,2067,"CNRM-ESM2-1"
15.9727954796367,2068,"CNRM-ESM2-1"
15.9325450424228,2069,"CNRM-ESM2-1"
16.1659273660726,2070,"CNRM-ESM2-1"
16.1828276120368,2071,"CNRM-ESM2-1"
16.1452140694329,2072,"CNRM-ESM2-1"
16.2763605895467,2073,"CNRM-ESM2-1"
16.1139498003994,2074,"CNRM-ESM2-1"
16.1886472700198,2075,"CNRM-ESM2-1"
16.2381429955291,2076,"CNRM-ESM2-1"
16.3560959591588,2077,"CNRM-ESM2-1"
16.5539749790625,2078,"CNRM-ESM2-1"
16.4363536466057,2079,"CNRM-ESM2-1"
16.4394882051214,2080,"CNRM-ESM2-1"
16.4527161348862,2081,"CNRM-ESM2-1"
16.3898147429664,2082,"CNRM-ESM2-1"
16.4721689721494,2083,"CNRM-ESM2-1"
16.3889292003698,2084,"CNRM-ESM2-1"
16.5775905808063,2085,"CNRM-ESM2-1"
16.6793025823267,2086,"CNRM-ESM2-1"
16.6758765245867,2087,"CNRM-ESM2-1"
16.5876651762444,2088,"CNRM-ESM2-1"
16.8336950040152,2089,"CNRM-ESM2-1"
16.8018961622689,2090,"CNRM-ESM2-1"
16.4598457903169,2091,"CNRM-ESM2-1"
16.782450678857,2092,"CNRM-ESM2-1"
16.9016732430782,2093,"CNRM-ESM2-1"
16.6947567358828,2094,"CNRM-ESM2-1"
16.879453099879,2095,"CNRM-ESM2-1"
16.88082535981,2096,"CNRM-ESM2-1"
16.7201640626822,2097,"CNRM-ESM2-1"
17.0069322892795,2098,"CNRM-ESM2-1"
16.8354993065558,2099,"CNRM-ESM2-1"
16.9436558034156,2100,"CNRM-ESM2-1"
15.306477089116,2015,"EC-Earth3"
15.2543945975593,2016,"EC-Earth3"
15.3893718620426,2017,"EC-Earth3"
15.4390533811665,2018,"EC-Earth3"
15.5817483554886,2019,"EC-Earth3"
15.2896700537293,2020,"EC-Earth3"
15.2893481859586,2021,"EC-Earth3"
15.3845979351741,2022,"EC-Earth3"
15.5099992372227,2023,"EC-Earth3"
15.5642762445658,2024,"EC-Earth3"
15.643988991886,2025,"EC-Earth3"
15.6336100657936,2026,"EC-Earth3"
15.6084199863011,2027,"EC-Earth3"
